courseCode,typeName
SC1003,Foundational-Core
SC1004,Core
SC1005,Core
MH1812,Core
CC0003,Common-Core
CC0005,Common-Core
SC1006,Core
SC1007,Core
SC1008,Core
SC2000,Core
SC2002,Core
CC0001,Common-Core
CC0002,Common-Core
SC2001,Core
SC2005,Core
SC2203,Core
SC2006,Core
SC2008,Core
CC0007,Common-Core
SC2207,Core
CC0006,Common-Core
ML0004,Common-Core
SC2079,Core
HW0288,Foundational-Core
SC3079,Foundational-Core
SC4079,Core
SC3000,MPE
SC4000,MPE
SC4001 ,MPE
SC4002,MPE
SC4003,MPE
SC4061,MPE
SC3010,MPE
SC4010,MPE
SC4011,MPE
SC4012,MPE
SC4013,MPE
SC4014,MPE
SC4015,MPE
SC4016,MPE
SC3020,MPE
SC4020,MPE
SC4021,MPE
SC4022,MPE
SC4023,MPE
SC4024,MPE
SC3030,MPE
SC3040,MPE
SC3050,MPE
SC3060,MPE
SC3061,MPE
SC4030,MPE
SC4031,MPE
SC4040,MPE
SC4050,MPE
SC4051,MPE
SC4052,MPE
SC4053,MPE
SC4054,MPE
SC4060,MPE
SC4242,MPE
SC1013,Core
EG1001,Core
SC2107,Core
SC2103,Core
SC2104,Core
SC3102,Core
SC3103,Core
SC3920,Foundational-Core
SC4172,MPE
MH1805,Core
MH2500,Core
MH2802,Core
SC3021,Core
MH3500,Core
MH3511,Core
HW0218,Foundational-Core
MH2100,Core
SD3920,Foundational-Core
SC1015,Core
SC4025,MPE
MH3510,MPE
MH3701,MPE
MH4500,MPE
MH4501,MPE
MH4511,MPE
MH4513,MPE
MH4515,MPE
MH4516,MPE
MH4517,MPE
MH4518,MPE
CS4022,MPE
CS4031,MPE
AB1202,Core
AB1301,Core
AD1102,Core
AB1601,Core
AB1003,Foundational-Core
AB0602,Foundational-Core
AB2008,Foundational-Core
BC2402,Core
BC2406,Core
AB1201,Core
BC2407,Core
AB1501,Core
AD2102,Core
AB3602,Core
HE5091,Core
HE1001,Core-Econ
HE1002,Core-Econ
HE2001,Core-Econ
HE3001,Core-Econ
HE2002,Core-Econ
MH1820,MPE
HE2003,Core-Econ
HE3002,Core-Econ
HE3003,Core-Econ
SC3026,Foundational-Core
BF2219,MPE
BE2602,MPE
BM2509,MPE
BE1402,MPE
BF2226,MPE
BF2227,MPE
BF3214,MPE
BF2302,MPE
BF3226,MPE
BF3212,MPE
BF3213,MPE
ET5211,MPE
ET5213,MPE
ET5212,MPE
ET5214,MPE
MH1100,Common-Core
MH1200,Common-Core
MH1300,Core
MH1101,Core
MH1201,Core
MH1301,Common-Core
PS0002,Foundational-Core
MH4900,Common-Core
MH2220,MPE
MH3100,MPE
MH3101,MPE
MH3220,MPE
MH3210,MPE
MH3300,MPE
MH3320,MPE
MH3400,MPE
MH3401,MPE
MH3512,MPE
MH3520,MPE
MH3600,MPE
MH3700,MPE
MH4100,MPE
MH4110,MPE
MH4200,MPE
MH4300,MPE
MH4301,MPE
MH4302,MPE
MH4310,MPE
MH4311 ,MPE
MH4312,MPE
MH4320,MPE
MH4510,MPE
MH4512,MPE
MH4514,MPE
MH4519,MPE
MH4521,MPE
MH4522,MPE
MH4600,MPE
MH4601,MPE
MH4700,MPE
MH4701,MPE
MH4702,MPE
MH4710,MPE
PS0001,Foundational-Core
