courseCode,degreeCode
SC1003,CSC
SC1004,CSC
SC1005,CSC
MH1812,CSC
CC0003,CSC
CC0005,CSC
HW0001,CSC
SC1006,CSC
SC1007,CSC
SC1008,CSC
SC2000,CSC
SC2002,CSC
CC0001,CSC
CC0002,CSC
SC2001,CSC
SC2005,CSC
SC2203,CSC
SC2006,CSC
SC2008,CSC
CC0007,CSC
SC2207,CSC
CC0006,CSC
ML0004,CSC
SC2079,CSC
HW0288,CSC
SC3079,CSC
SC4079,CSC
SC3000,CSC
SC4000,CSC
SC4001 ,CSC
SC4002,CSC
SC4003,CSC
SC4061,CSC
SC3010,CSC
SC4010,CSC
SC4011,CSC
SC4012,CSC
SC4013,CSC
SC4014,CSC
SC4015,CSC
SC4016,CSC
SC3020,CSC
SC4020,CSC
SC4021,CSC
SC4022,CSC
SC4023,CSC
SC4024,CSC
SC3030,CSC
SC3040,CSC
SC3050,CSC
SC3060,CSC
SC3061,CSC
SC4030,CSC
SC4031,CSC
SC4040,CSC
SC4050,CSC
SC4051,CSC
SC4052,CSC
SC4053,CSC
SC4054,CSC
SC4060,CSC
SC4242,CSC
SC1003,CE
SC1004,CE
SC1005,CE
SC1013,CE
EG1001,CE
CC0003,CE
CC0005,CE
HW0001,CE
SC1006,CE
SC1007,CE
SC1008,CE
SC2000,CE
MH1812,CE
CC0001,CE
CC0002,CE
SC2001,CE
SC2002,CE
SC2006,CE
SC2008,CE
SC2107,CE
CC0007,CE
SC2103,CE
SC2005,CE
SC2104,CE
SC3102,CE
CC0006,CE
ML0004,CE
SC3103,CE
SC2079,CE
HW0288,CE
SC3920,CE
SC4079,CE
SC3000,CE
SC4000,CE
SC4001 ,CE
SC4002,CE
SC4003,CE
SC4061,CE
SC4172,CE
SC3010,CE
SC4010,CE
SC4011,CE
SC4012,CE
SC4013,CE
SC4014,CE
SC4015,CE
SC4016,CE
SC4020,CE
SC4021,CE
SC4022,CE
SC3030,CE
SC4030,CE
SC4031,CE
SC4015,CE
SC4031,CE
SC4172,CE
SC3020,CE
SC3040,CE
SC3050,CE
SC4040,CE
SC4050,CE
SC4051,CE
SC4052,CE
SC4053,CE
SC4054,CE
SC4060,CE
MH1805,DSAI
MH1812,DSAI
MH2802,DSAI
MH2100,DSAI
MH2500,DSAI
MH3500,DSAI
MH3511,DSAI
SC1007,DSAI
SC2001,DSAI
SC2002,DSAI
SC2006,DSAI
SC2207,DSAI
SC3000,DSAI
SC3021,DSAI
SC1015,DSAI
SC4000,DSAI
SC4020,DSAI
SC3020,DSAI
SC4001 ,DSAI
SC4002,DSAI
SC4003,DSAI
SC4010,DSAI
SC4013,DSAI
SC4021,DSAI
SC4022,DSAI
SC4023,DSAI
SC4024,DSAI
SC4025,DSAI
SC4050,DSAI
