courseCode,prerequisiteType,prerequisiteValue
HW0001,Others,For student failed QET
SC1007,Course,SC1003
SC1008,Course,SC1003
SC2002,OR_Course,SC1003
SC2002,OR_Course,SC1007
SC2001,Course,SC1007
SC2001,Course,MH1812
SC2005,Course,SC1006
SC2005,Course,SC1007
SC2008,Course,SC2000
SC2008,Course,SC1004
SC2079,Year,Year 3
HW0288,Course,CC0001
HW0288,Year,Year 3
SC3079,Year,Year 3
SC4079,Year,Year 4
SC3000,Year,Year 3
SC3000,Course,SC1007
SC3000,Course,SC1015
SC3000,Course,SC2000
SC4000,Year,Year 3
SC4000,Course,SC1004
SC4000,Course,SC1007
SC4000,Course,SC2000
SC4001,Year,Year 3
SC4001,Course,SC1004
SC4001,Course,SC1007
SC4002,Year,Year 3
SC4002,Course,SC2001
SC4003,Year,Year 3
SC4003,Course,SC2000
SC4061,Year,Year 3
SC3010,Year,Year 3
SC3010,Course,SC2005
SC4010,Year,Year 3
SC4010,Course,SC2000
SC4011,Year,Year 3
SC4011,Course,SC2006
SC4012,Year,Year 3
SC4012,Course,SC2002
SC4012,Course,SC2005
SC4013,Year,Year 3
SC4013,Course,SC2005
SC4013,Course,SC2008
SC4014,Year,Year 3
SC4014,Course,SC1006
SC4014,Course,SC2005
SC4015,Year,Year 3
SC4015,Course,SC1006
SC4016,Year,Year 3
SC3020,Year,Year 3
SC3020,Course,SC2207
SC4020,Year,Year 3
SC4020,Course,SC2001
SC4021,Year,Year 3
SC4021,Course,SC2001
SC4022,Year ,Year 3
SC4022,Course,SC2001
SC4023,Year,Year 3
SC4023,Course,SC2207
SC4024,Year,Year 3
SC4024,Course,SC1003
SC4024,Course,SC2000
SC3030,Year,Year 3
SC3030,Course,SC2008
SC3040,Year,Year 3
SC3040,Course,SC2006
SC3050,Year,Year 3
SC3050,Course,SC1006
SC3060,Year,Year 3
SC3061,Year,Year 3
SC4030,Year,Year 3
SC4030,Course,SC2008
SC4031,Year,Year 3
SC4031,Course,SC2008
SC4040,Year,Year 3
SC4040,Course,SC2001
SC4050,Year,Year 3
SC4050 ,Course,SC2001
SC4050,Course,SC3050
SC4051,Year,Year 3
SC4051,Course,SC2005
SC4051,Course,SC2008
SC4052,Year,Year 3
SC4052,Course,SC1004
SC4053,Year,Year 3
SC4053,Course,SC2001
SC4053,Course,MH1812
SC4054,Year,Year 3
SC4054,Course,SC1007
SC4054,Course,SC2000
SC4060,Year,Year 3
SC4242,Year,Year 3
SC4242,Course,SC2107
SC2107,Course,SC1006
SC2107,Course,SC1005
SC2104,Course,SC1006
SC3102,Course,SC1004
SC3103,Course,SC2107
SC3920,Year,Year 3
SC4172,Year,Year 3
SC4172,Course,SC2107
MH2500,Course,MH1805
SC3021,Course,SC1003
MH3500,Course,MH2500
MH3511,Course,MH2500
HW0218,Course,CC0001
MH2100,Course,MH1805
SD3920,Year,Year 3
SC1015,Course,SC1003
SC4025,Year,Year 3
SC4025,Course,MH2500
MH3510,Year,Year 3
MH3510,Course,MH2500
MH3510,Course,MH3500
MH3701,Year,Year 3
MH3701,OR_Course,MH1201
MH3701,OR_Course,MH2800
MH3701,OR_Course,MH2802
MH4500,Year,Year 3
MH4500,Course,MH2500
MH4500,Course,MH3500
MH4500,Course,MH3510
MH4501,Year,Year 3
MH4501,Course,MH2500
MH4501,Course,MH3500
MH4501,Course,MH3510
MH4511,Year,Year 3
MH4511,Course,MH2500
MH4511,Course,MH3500
MH4513,Year,Year 3
MH4513,Course,MH2500
MH4513,Course,MH3500
MH4513,Course,MH3510
MH4515,Year,Year 3
MH4516,Year,Year 3
MH4517,Year,Year 3
MH4517,OR_Course,MH1402
MH4517,OR_Course,MH1403
MH4517,OR_Course,SC2001
MH4518,Year,Year 3
MH4518,Course,MH2500
MH4518,Course,MH3511
CS4022,Year,Year 3
CS4022,Course,SC4020
CS4031,Year,Year 3
AB0602,Course,CC0001
BC2407,Course,AB1202
BC2407,Course,BC2406
AD2102,Course,AD1102
AB3602,Course,AB1501
AB3602,Course,AB1601
HE2001,Course,HE1001
HE3001,Course,HE2001
HE2002,Course,HE1002
HE2003,Course,MH1820
HE3002,Course,HE2002
HE3003,Course,HE2003
SC3026,Year,Year 3
BF2219,Course,AB1202
BE2602,Course,AB1601
BM2509,Course,AB1501
BF3212,Course,BF2226
MH1101,Course,MH1100
MH1201,Course,MH1200
PS0002,OR_Course,PS0001 
PS0002,OR_Course,SC1003
MH2220,OR_Course,MH1200
MH2220,OR_Course,CY1602
MH2220,Course,MH1300
MH3100,Course,MH1100
MH3100,OR_Course,MH1101
MH3100,OR_Course,CY1601
MH3100,OR_Course,MH1802
MH3101,Course,MH2100
MH3220,Course,MH1201
MH3220,Course,MH2220
MH3210,Course,MH1300
MH3300,Course,MH1201
MH3300,OR_Course,MH1301
MH3300,OR_Course,MH2802
MH3320,Course,MH1201
MH3320,Course,MH2100
MH3400,Course,MH1201
MH3400,Course,MH1301
MH3400,Course,MH1402
MH3400,Course,MH2500
MH3401,Course,MH1100
MH3401,Course,MH1101
MH3512,Course,MH2500
MH3520,Course,MH2100
MH3520,Course,MH3500
MH3520,Course,MH3600
MH3520,Course,PS0001 
MH3600,OR_Course,MH1803
MH3600,OR_Course,MH2100
MH3700,Course,MH1200
MH3700,Course,MH1201
MH4100,Course,MH2100
MH4100,Course,MH3100
MH4110,Course,MH3100
MH4110,Course,MH3110
MH4200,Course,MH1201
MH4200,Course,MH3200
MH4300,Course,MH1101
MH4300,Course,MH1201
MH4300,Course,MH1301
MH4301,Course,MH1300
MH4301,Course,MH1301
MH4302,Course,MH1300
MH4302,Course,MH1301
MH1402,OR_Course,MH1402
MH1402,OR_Course,MH1403
MH4310,Course,MH2200
MH4310,Course,MH1301
MH4311,Course,MH1301
MH4320,Course,MH1200
MH4320,Course,MH2500
MH4510,Course,MH2500
MH4510,Course,MH3500
MH4510,Course,MH3510
MH4510,Course,MH3511
MH4512,Course,MH3500
MH4512,Course,MH3510
MH4514,Course,MH2500
MH4514,Course,MH3512
MH4519,OR_Course,MH2500
MH4519,OR_Course,MH1820
MH4521,Course,MH2500
MH4521,Course,MH3512
MH4522,Course,MH2500
MH4600,Course,MH3200
MH4600,Course,MH3600
